synereo,Synereo,AMP,synereo
ardor,Ardor,ARDR,ardor
bitcoin-cash,Bitcoin Cash,BCH,bitcoincash
bytecoin-bcn,Bytecoin,BCN,bytecoinbcn
bitcrystals,Bitcrystals,BCY,bitcrystals
belacoin,Bela,BELA,belacoin
blackcoin,BlackCoin,BLK,blackcoin
bitcoin,Bitcoin,BTC,bitcoin
bitcoindark,BitcoinDark,BTCD,bitcoindark
bitmark,Bitmark,BTM,bitmark
bitshares,BitShares,BTS,bitshares
burst,Burst,BURST,burstcoin
clams,Clams,CLAM,clamcoin
civic,Civic,CVC,civicplatform
dash,Dash,DASH,dashpay
decred,Decred,DCR,decred
digibyte,DigiByte,DGB,digibyte
dogecoin,Dogecoin,DOGE,dogecoin
einsteinium,Einsteinium,EMC2,einsteinium
ethereum-classic,Ethereum Classic,ETC,ethereumclassic
ethereum,Ethereum,ETH,ethereum
expanse,EXP,expanseofficial
factom,Factom,FCT,factom
foldingcoin,FoldingCoin,FLDC,foldingcoin
florincoin,FlorinCoin,FLO,florincoin
gamecredits,GameCredits,GAME,GameCreditsCrypto
gas,Gas,GAS,gas
gnosisgno,gnosis,Gnosis,GNO,gnosisPM
golemnetworktokens,golem,GNT,golemproject
gridcoin,GridCoin,GRC,gridcoin
huntercoin,HunterCoin,HUC,huntercoin
librarycredit,library-credit,lbry,LBC,lbry
lisk,Lisk,LSK,lisk
litecoin,Litecoin,LTC,litecoin
maidsafecoin,MaidSafeCoin,MAID,maidsafecoin
nav-coin,NAV Coin,NAV,navcoin
neoscoin,NeosCoin,NEOS,neoscoin
namecoin,Namecoin,NMC,namecoin
nexium,Nexium,NXC,nexiumcoin
nxt,Nxt,NXT,nxt
omisego,OmiseGO,OMG,omise_go
omni,Omni,OMNI,omni
pascal-coin,Pascal Coin,PASC,pascalcoin
pinkcoin,PinkCoin,PINK,pinkcoin
potcoin,PotCoin,POT,potcoin
peercoin,Peercoin,PPC,peercoin
radium,Radium,RADS,radiumcrypto
augur,Augur,REP,augur
riecoin,Riecoin,RIC,riecoin
steem-dollars,Steem Dollars,SBD,steemit
siacoin,Siacoin,SC,siacoin
steem,Steem,STEEM,steem
storj,Storj,STORJ,storj
stratis,Stratis,STRAT,stratis
syscoin,Syscoin,SYS,syscoin
tether,Tether,USDT,tether
viacoin,Viacoin,VIA,viacoin
vericoin,VeriCoin,VRC,vericoin
vertcoin,Vertcoin,VTC,vertcoin
bitcoin-plus,Bitcoin Plus,XBC,bitcoinplus
counterparty,Counterparty,XCP,counterparty
nem,NEM,XEM,nem
monero,Monero,XMR,monero
primecoin,Primecoin,XPM,primecoin
ripple,Ripple,XRP,ripple
vcash,Vcash,XVC,vcash
zcash,Zcash,ZEC,zec
0x,0x,ZRX,0xproject
